url,name,price,screen_size,ssd,cpu,ram,os,gpu,scraped_at,source
https://www.amazon.com.tr/dp/B0CVNDH2H1,"MSI Thin A15 A15 B7VE-076XTR Ryzen 5 7535HS 16GB 512GB SSD 6GB RTX4050 15.6"" FHD 144Hz FreeDOS Gaming (Oyuncu) Notebook",33749.0,"15.6""",512GB,RYZEN 5 7535,16GB,FreeDOS,rtx4050,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0DZDBFFR2,"Apple 2025 M4 çipli 13 inç MacBook Air Laptop: 13.6 inç Liquid Retina Ekran, 16GB Birleşik Bellek, 256 GB SSD Depolama, 12MP Center Stage Kamera, Touch ID; Gümüş Rengi",47544.0,"13""",256GB,M4,16GB,macOS,apple integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0DZDBKGWY,"Apple 2025 M4 çipli 13 inç MacBook Air Laptop: 13.6 inç Liquid Retina Ekran, 16GB Birleşik Bellek, 512 GB SSD Depolama, 12MP Center Stage Kamera, Touch ID; Gök Mavisi",60699.0,"13""",512GB,M4,16GB,macOS,apple integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0DX27D4RV,HP 255 G10 9G1G0ET08 Ryzen5 7530U 16GB 512SSD 15.6 FHD W11P Dizüstü Bilgisayar-CNT009,23699.0,"15.6""",16GB,I5,16GB,Windows 11,integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0DZDBWD1Z,"Apple 2025 M4 çipli 13 inç MacBook Air Laptop: 13.6 inç Liquid Retina Ekran, 16GB Birleşik Bellek, 256 GB SSD Depolama, 12MP Center Stage Kamera, Touch ID; Yıldız Işığı",47524.0,"13""",256GB,M4,16GB,macOS,apple integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0FH2SYGBM,"HP Victus | Intel Core i5-14450HX | 32 GB RAM | 1 TB SSD | NVIDIA GeForce RTX 4060 | 16, 1 inç 144 Hz FHD IPS | FreeDOS | Gaming Laptop | BK5R0EA",53999.0,"15.6""",1TB,I5-14450,32GB,FreeDOS,rtx4060,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0972BVDVV,"MSI MODERN 15 F13MG-631XTR Dizüstü Bilgisayar, Intel Core I5-1334U, 15.6 FHD, 8GB RAM DDR4, UMA, 512GB SSD, DOS",22699.0,"15.6""",512GB,I5-1334,8GB,FreeDOS,integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0FL7GZD6K,Lenovo IdeaPad Slim 3 | i7-13620H | 16GB DDR5 RAM | 512GB SSD | 15.3 İnç WUXGA | FreeDOS Dizüstü Bilgisayar | 83K10060TR,29999.0,"15.3""",512GB,I7-13620,16GB,FreeDOS,integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0FV3N1MM3,ASUS Vivobook Go 15 Ryzen 5-7520U 8GB LPDDR5 512GB SSD 15.6 inç FHD Laptop,17899.0,"15.6""",512GB,RYZEN 5 7520,8GB,FreeDOS,integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0BTDJ4QVL,ASUS TUF Gaming F16 FX608JH-RV010 Gaming Dizüstü Bilgisayar|NVIDIA GeForce RTX 5050 Laptop GPU 8GB DDR7| Intel Corei5-13450HX Processor 2.4 GHz İşlemci|16GB DDR5 RAM| 512GB SSD| 16 inç FHD|FreeDOS,49794.0,"16""",512GB,I5-13450,8GB,FreeDOS,rtx5050,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0F8HC4QCZ,ASUS Vivobook S 14 M5406KA-PP129W Dizüstü Bilgisayarı| AMD Ryzen AI 7 350 Processor 2.0 GHz İşlemci| 24GB LPDDR5X| 512GB M.2 NVMe PCIe 4.0 SSD| AMD Radeon Graphics| 14 inç OLED| Windows 11 Home,45999.0,"14""",512GB,RYZEN 5,24GB,Windows 11,amd radeon,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0FHWLNTV9,"MSI KATANA 15 HX B14WFK-448XTR Dizüstü Bilgisayar, Intel Core I7-14650HX, 15.6 QHD 165Hz, 32GB RAM DDR5, RTX5060 GDDR7 8GB, 1TB SSD, DOS",71899.0,"15.6""",1TB,I7-14650,32GB,FreeDOS,rtx5060,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0FWRY3YR3,"MSI Modern 15 F13MG-631XTR012 i5-1334U 16GB 512SSD 15.6"" FHD W11P Dizüstü Bilgisayar",26299.0,"15.6""",16GB,I5-1334,16GB,Windows 11,integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0FWD9GHDJ,"Apple MacBook Pro Laptop: M5 çip, 14.2 inç Liquid Retina XDR Ekran, Apple Intelligence için tasarlandı, 16 GB Birleşik Bellek, 512 GB SSD Depolama; Uzay Siyahı",84999.0,"14.2""",512GB,M2,16GB,macOS,apple integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0CX97HNT5,ASUS Vivobook Go 15 E1504FA-NJ115 Ryzen 5 7520U 8GB 512GB SSD 15.6'' FHD Fdos Taşınabilir Bilgisayar,18130.0,"15.6""",512GB,RYZEN 5 7520,8GB,FreeDOS,integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0DZDDLVVR,"Apple 2025 M4 çipli 15 inç MacBook Air Laptop: 15.3 inç Liquid Retina Ekran, 16GB Birleşik Bellek, 256 GB SSD Depolama, 12MP Center Stage Kamera, Touch ID; Gece Yarısı",61749.0,"15""",256GB,M4,16GB,macOS,apple integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B00OLC0EEA,"LENOVO IdeaPad Slim 3 AMD Ryzen 5-5625U 8GB 512GB SSD 15.6"" FHD FreeDOS Dizüstü Bilgisayar 82XM00PVTX",18999.0,"15.6""",512GB,RYZEN 5 5625,8GB,FreeDOS,integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0DHXLSWWS,"Lenovo Thinkbook 16 G6 ABP 21KK000WTR Ryzen 7 7730U 16GB 512GB SSD 16.0"" Wuxga FreeDOS Notebook",27299.0,"16.0""",512GB,RYZEN 7 7730,16GB,FreeDOS,integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0FQCTJD45,"GIGABYTE AERO X16 1VH Gaming Notebook, 16 inç 165Hz QHD 2K 16:10 IPS Ekran, AMD Ryzen AI 7 350, NVIDIA GeForce RTX 5060 GPU, 1TB SSD, 16 GB DDR5 RAM,Copilot+ PC, Dolby Atmos, Windows 11 Home, Beyaz",69999.0,"16""",1TB,RYZEN 5,16GB,Windows 11,rtx5060,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0G3W3Z25K,"Monster Abra A5 V21.5.6 Intel Core i5 12450H 8 GB 500GB SSD RTX 3050 FreeDos 15,6"" 144 Hz Oyun Bilgisayarı",30779.0,"15.6""",500GB,I5-12450,8GB,FreeDOS,rtx3050,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0FN7SB7X8,"TUF Gaming Intel Core 5 210H 16GB 512GB SSD RTX4050 Freedos 16"" FHD+ FX607VU-RL017",41799.0,"16""",512GB,I5,16GB,FreeDOS,rtx4050,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0DJH4QRXV,Asus VivoBook Go 15 E1504FA-NJ115A3 Ryzen5 7520U 8GB 512SSD 15.6 FHD W11P Dizüstü Bilgisayar,20499.0,"15.6""",8GB,I5,8GB,Windows 11,integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0FC2GHK36,Asus Tuf Gaming F16 FX608JH-RV08 Intel Core i5 13450HX 16GB 512GB SSD RTX5050-8GB 115W Freedos 16 165Hz WUXGA Taşınabilir Bilgisayar,47999.0,"15.6""",512GB,I5-13450,16GB,FreeDOS,rtx5050,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0DFD92V9P,"İş Dizüstü Bilgisayarı, 15,6 inç Yüzde 100 SRGB Ekran, 2K Çözünürlük, 16G RAM 128G SSD, Parmak İzi Açma Dizüstü Bilgisayar İş Ofisi için, 11 Pro için (BLACK)",13980.0,"15.6""",512GB,I5,8GB,FreeDOS,integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0DPCNM82M,"Lenovo V15 83A100KXTR11 i7-1355U 24GB 512SSD 15.6"" FHD W11P Dizüstü Bilgisayar-CNT012",30899.0,"15.6""",24GB,I7-1355,24GB,Windows 11,integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0DJVYVTM1,"MSI CYBORG 15 A13VE-1479XTR Dizüstü Bilgisayar, Core I7-13620H, 15.6 FHD 144Hz, 16GB RAM, RTX4050 GDDR6 6GB, 512GB SSD, DOS",40384.0,"15.6""",512GB,I7-13620,16GB,FreeDOS,rtx4050,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0G2C6XYRZ,"Lenovo Ideapad Slim 3 14ARP10 │ AMD Ryzen 5 7535HS │ 8GB DDR5 RAM │ 512GB SSD │15.3"" WUXGA IPS 1920x1200 60Hz │FreeDOS Laptop │ 83K7009FTR",18999.0,"15.3""",512GB,RYZEN 5 7535,8GB,FreeDOS,integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0G25XH2RB,"LENOVO Ideapad Slim 3 82XM00PVTX001 Ryzen5 5625U 8GB 1TBSSD 15.6"" FHD FreeDOS Dizüstü Bilgisayar",,"15.6""",1TB,I5,8GB,FreeDOS,integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0G4DPK495,"Lenovo Ideapad Slim 3 82XM00PVTX002 Ryzen5 5625U 8GB 512SSD 15.6"" FHD W11P Dizüstü Bilgisayar",20841.0,"15.6""",8GB,I5,8GB,Windows 11,integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0FMYRJDWX,"Lenovo Ideapad Slim 5 83HR0070TR i5-13420H 16GB 512SSD 14"" WUXGA FreeDOS Dizüstü Bilgisayar",33156.0,"14""",16GB,I5-13420,16GB,FreeDOS,integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0BZQVBKKC,"15,6 inç dizüstü bilgisayar, LPDDR4 12 GB 512 GB SSD N5095 CPU 1920 x 1080 çözünürlük, parmak izi kilidi ve sayısal tuş takımı ile dizüstü bilgisayar için,",15669.0,"15.6""",512GB,I5,8GB,FreeDOS,integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0F9B2V6KF,"ASUS Zenbook 14 UX3405CA-QL571W Dizüstü Bilgisayar| Intel Core Ultra 7 255H|16GB RAM| 512GB SSD| 14""| W11",46999.0,"14""",512GB,ULTRA 7,16GB,Windows 11,integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0DS2PDD63,"Lenovo V15 83A100A5TR09 i5-13420H 16GB 512SSD 15.6"" FHD W11P Dizüstü Bilgisayar-CNT010",27501.0,"15.6""",16GB,I5-13420,16GB,Windows 11,integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0FTMKVVNR,"HP 17-CP2000TT B4G00TT Ryzen5 7520U 8GB 512SSD 17.3"" FHD W11H Dizüstü Bilgisayar",25199.0,"17.3""",8GB,I5,8GB,Windows 11,integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0FMRW8JZG,"Lenovo LOQ 17IRX10 Intel Core i7-14700HX 24GB 1TB SSD RTX 5070 8GB 17,3"" FHD IPS Panel 165Hz 115W Freedos Taşınabilir Dizüstü Bilgisayar 83JH006HTR",74999.0,"17.3""",1TB,I7-14700,24GB,FreeDOS,rtx5070,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0F2916MK8,"MSI VECTOR 16 HX AI A2XWHG-091XTR, Dizüstü Bilgisayar, Intel Core Ultra 7 255HX, 16.0 FHD+ 144Hz, 16GB RAM DDR5, RTX5070TI GDDR7 12GB, 1TB SSD, FreeDOS, Gri",84709.0,"16.0""",1TB,ULTRA 7,16GB,FreeDOS,rtx5070,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0F9F87WVX,"HP 255 G10 3Z6G3ES005 Ryzen7 7730U 16GB 512SSD 15.6"" FHD W11P Dizüstü Bilgisayar-CNT006",,"15.6""",16GB,I5,16GB,Windows 11,integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0FMRP1VZ6,"Lenovo LOQ | GeForce RTX 5070 8GB GDDR7 115W| i7-13650HX | 24GB RAM | 1TB SSD | 15.6"" FHD 144Hz IPS | FreeDOS Laptop | 83JE00D0TR",65999.0,"15.6""",1TB,I7-13650,24GB,FreeDOS,rtx5070,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0DSG9ZRGY,"Asus ExpertBook B3 Flip B3402FVA-I58512S0D12 i5-1335U 16GB 512SSD 14"" FHD Touch W11P Dizüstü Bilgisayar-CNT013",34959.0,"14""",16GB,I5-8512,16GB,Windows 11,integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0DW95KM8D,"Lenovo LOQ 15IAX9 | i5-12600HX | 24 GB DDR5 RAM | 512 GB SSD | RTX4050 6 GB GDDR6 105W | 15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC® | Freedos Gaming Laptop | 83GS00P6TR",41899.0,"15.6""",512GB,I5-12600,24GB,FreeDOS,rtx4050,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0FQCVJ6H7,"GIGABYTE GAMING A16 CWH Gaming Notebook, 16 inç 165Hz FullHD 16:10 Ekran, Intel Core i7-13620H, NVIDIA GeForce RTX 5070, 16 GB DDR5 RAM, 1TB SSD, Dolby Atmos, Free DOS, CWHI3TR894SD",62449.0,"16""",1TB,I7-13620,16GB,FreeDOS,rtx5070,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0FW4LSL5T,"MSI CYBORG 15 B13WFKG-491XTR Dizüstü Bilgisayar, GeForce RTX5060 GDDR7 8GB, Intel Core I5-13420H, 15.6 FHD 144Hz, 16GB RAM DDR5, 512GB SSD, DOS",51417.0,"15.6""",512GB,I5-13420,16GB,FreeDOS,rtx5060,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0DX7M34P5,"Casper Nirvana S100 16"" 300NIT Core i7-13620H 32GB DDR5 RAM 1TB NVME SSD Freedos Laptop S100.1362-DF00X-G-F",33899.0,"16""",1TB,I7-13620,32GB,FreeDOS,integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0FSD5GYDQ,"Lenovo IdeaPad 5 2-in-1 14IRH9 Intel Core i5 13420H 8GB 512GB SSD Windows 11 Home 14"" WUXGA Dokunmatik Taşınabilir Bilgisayar 83KX005CTR + Lenovo Kalem",29999.0,"14""",512GB,I5-13420,8GB,Windows 11,integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0FY93237N,"Casper NevoPro 14"" 300NIT i7-13620H 24GB DDR5 1TB SSD Freedos Laptop NP40.1362-CF00X-G-F",33299.0,"14""",1TB,I7-13620,24GB,FreeDOS,integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0FW4KSVN3,"MSI CYBORG 15 B13WFKG-495XTR Dizüstü Bilgisayar, GeForce RTX5060 GDDR7 8GB, Intel Core I7-13620H, 15.6 FHD 144Hz, 32GB RAM DDR5, 1TB SSD, DOS",60099.0,"15.6""",1TB,I7-13620,32GB,FreeDOS,rtx5060,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0G3B41ZFW,"Lenovo IdeaPad Slim 3 82X700G0TX003 i3-1315U 8GB 1TBSSD 15.6"" FHD W11P Dizüstü Bilgisayar",24525.0,"15.6""",1TB,I3-1315,8GB,Windows 11,integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0G3BBZFSF,"Lenovo IdeaPad Slim 3 83EM00KYTR004 i5-13420H 16GB 1TBSSD 15.6"" FHD W11P Dizüstü Bilgisayar",37199.0,"15.6""",1TB,I5-13420,16GB,Windows 11,integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0FKNCHJ9X,"Lenovo Ideapad Slim 3 82XM00U4TX003 Ryzen7 5825U 16GB 1TBSSD 15.6"" FHD W11P Dizüstü Bilgisayar-CNT004",33999.0,"15.6""",1TB,I5,16GB,Windows 11,integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0FKT71JYX,"Lenovo Ideapad Slim 3 83K0002ATR017 i7-13620H 16GB 512SSD 14"" WUXGA W11P Dizüstü Bilgisayar-CNT018",37199.0,"14""",16GB,I7-13620,16GB,Windows 11,integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0F93XFRQP,"Monster Tulpar T7 V26.2.2 Intel Core i7 13620H 32 GB RAM 1 TB SSD 8 GB RTX 5060 Freedos 17,3"" FHD 144 Hz Oyun Bilgisayarı",77669.0,"17.3""",1TB,I7-13620,32GB,FreeDOS,rtx5060,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0FW4P49HW,"MSI CYBORG 15 B13WEKG-613XTR Dizüstü Bilgisayar, GeForce RTX5050 GDDR7 8GB, Intel Core I7-13620H, 15.6 FHD 144Hz, 16GB RAM DDR5, 1TB SSD, DOS",47999.0,"15.6""",1TB,I7-13620,16GB,FreeDOS,rtx5050,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0FPGCZ7PS,"ASUS TUF GAMING F16 FX608JPR-QT069 INTEL CORE I7-14650HX 32GB DDR5 1TB SSD 8GB RTX5070 16"" 165HZ DOS",79699.0,"16""",1TB,I7-14650,32GB,FreeDOS,rtx5070,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B096Y34V92,"MSI KATANA 15 HX B14WFK-450XTR Dizüstü Bilgisayar, Intel Core I9-14900HX, 15.6 QHD 165Hz, 32GB RAM DDR5, RTX5060 GDDR7 8GB, 1TB SSD, DOS",74587.0,"15.6""",1TB,I9-14900,32GB,FreeDOS,rtx5060,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0BV2CH6CV,"MSI CYBORG 15 A13VF-1204XTR Dizüstü Bilgisayar, Core I5-13420H, 15.6 FHD 144Hz, 16GB RAM, RTX4060 GDDR6 8GB, 1TB SSD, DOS",48525.0,"15.6""",1TB,I5-13420,16GB,FreeDOS,rtx4060,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0CKWMV6VB,"Ultra İnce 14,1 İnç FHD Dizüstü Bilgisayar, 8 GB DDR4,Celeron J4105 İşlemci Için,10 11 Için, Çok Açılı, Zengin Arayüzler (512GB AB fişi)",12980.0,"14.1""",8GB,CELERON J4105,8GB,FreeDOS,integrated,2025-12-25 19:55:11,amazon
https://www.amazon.com.tr/dp/B0BPM4KH27,"Monster HUMA H4 V5.1.3 Intel Core i5 1235U 8 GB RAM 500 GB SSD FreeDOS 14,1'' FHD 60 Hz Taşınabilir Bilgisayar",26639.0,"14.1""",500GB,I5-1235,8GB,FreeDOS,integrated,2025-12-25 19:55:11,amazon
